id,depth,datetime,Rrs_412,Rrs_443,Rrs_469,Rrs_488,Rrs_531,Rrs_547,Rrs_555,Rrs_645,Rrs_667,Rrs_678,chla
1140,0,2002-07-24 17:50:00,0.000614002346992493,0.00115799903869629,0.0019260011613369,0.00201199948787689,0.00282800197601318,0.00299200043082237,0.00285600125789642,0.00168200209736824,0.00151200219988823,0.00157799944281578,1.57000005245209
1157,2.875,2002-09-03 18:50:00,0.000693999230861664,0.000652000308036804,0.00121200084686279,0.00138800218701363,0.00171799957752228,0.00163999944925308,0.00157799944281578,0.000229999423027039,0.000162001699209213,0.000176001340150833,1.66999995708466
1159,0,2002-09-04 17:20:00,0.001910001039505,0.00143600068986416,0.00154799968004227,0.00152800232172012,0.00213000178337097,0.00246800109744072,0.00250000134110451,0.00112000107765198,0.00103200227022171,0.00128800049424171,21.4500007629395
1170,4.53749990463257,2002-10-09 14:55:00,0.00107400119304657,0.0013900026679039,0.00191600248217583,0.00223600119352341,0.00272399932146072,0.0026560015976429,0.00252600014209747,0.000560000538825989,0.00035800039768219,0.00035800039768219,0.689999997615814
1237,3.17499995231628,2002-11-07 15:54:00,0.00327400118112564,0.00253400206565857,0.00274600088596344,0.00276200100779533,0.0032540000975132,0.00327000021934509,0.00304000079631805,0.0010640025138855,0.000819999724626541,0.000824000686407089,0.592499971389771
1238,3.61999988555908,2002-11-07 17:17:00,0.00343000143766403,0.00244200229644775,0.0024540014564991,0.00244200229644775,0.00266199931502342,0.00274600088596344,0.00261599943041801,0.000600002706050873,0.000482000410556793,0.000482000410556793,0.487500011920929
1244,3.07500004768372,2003-04-17 15:09:00,0.00226600095629692,0.00265200063586235,0.00340000167489052,0.00387800112366676,0.00423600152134895,0.004100002348423,0.00375200062990189,0.000957999378442764,0.000695999711751938,0.000654000788927078,0.657500028610229
1245,3.42499995231628,2003-04-17 16:59:00,0.00182799994945526,0.00240600109100342,0.00329799950122833,0.00377000123262405,0.00420200079679489,0.00414999946951866,0.00385000184178352,0.00104400143027306,0.000730000436306,0.000700000673532486,1.73500001430511
1246,3.42000007629395,2003-04-17 18:32:00,0.00169600173830986,0.00215800106525421,0.00289399921894073,0.0033080019056797,0.00388400256633759,0.00387400016188622,0.00357799977064133,0.00104600191116333,0.000739999115467072,0.000724002718925476,2.39750003814697
1253,3.375,2003-04-18 15:44:00,0.00142199918627739,0.00149999931454659,0.00203000009059906,0.00211000069975853,0.00174200162291527,0.00150800123810768,0.00126999989151955,0.000169999897480011,8.40015709400177e-05,0.000105999410152435,0.487500011920929
